There are 5132 results in 206 pages.
Postcode 1057AH: 4017 EUR/m2 (57m2 E229000, appartement)
Postcode 1069GA: 2786 EUR/m2 (75m2 E209000, appartement)
Postcode 1066AZ: 2892 EUR/m2 (102m2 E295000, appartement)
Postcode 1066AZ: 2714 EUR/m2 (105m2 E285000, appartement)
Postcode 1091TN: 4715 EUR/m2 (72m2 E339500, appartement)
Postcode 1019AZ: 3928 EUR/m2 (70m2 E275000, appartement)
Postcode 1019AZ: 3207 EUR/m2 (106m2 E340000, appartement)
Postcode 1058AN: 4375 EUR/m2 (120m2 E525000, appartement)
Postcode 1058AN: 4847 EUR/m2 (72m2 E349000, appartement)
Postcode 1069SC: 2576 EUR/m2 (85m2 E219000, appartement)
Postcode 1067AN: 2150 EUR/m2 (93m2 E200000, woonhuis)
Postcode 1018TE: 5520 EUR/m2 (48m2 E265000, appartement)
Postcode 1060RS: 1896 EUR/m2 (145m2 E275000, woonhuis)
Postcode 1053XV: 5172 EUR/m2 (58m2 E300000, appartement)
Postcode 1098WT: 3114 EUR/m2 (96m2 E299000, appartement)
 - Running average after this page is 3580
Postcode 1068VM: 2989 EUR/m2 (92m2 E275000, appartement)
Postcode 1068VM: 2876 EUR/m2 (93m2 E267500, appartement)
Postcode 1068VM: 2734 EUR/m2 (128m2 E350000, appartement)
Postcode 1079NJ: 4070 EUR/m2 (71m2 E289000, appartement)
Postcode 1092GJ: 4837 EUR/m2 (37m2 E179000, appartement)
Postcode 1011TC: 4308 EUR/m2 (81m2 E349000, appartement)
Postcode 1016HK: 8666 EUR/m2 (150m2 E1300000, appartement)
Postcode 1016HV: 6502 EUR/m2 (223m2 E1450000, appartement)
Postcode 1068MS: 2922 EUR/m2 (77m2 E225000, appartement)
Postcode 1068MS: 3080 EUR/m2 (68m2 E209500, appartement)
Postcode 1072XX: 5833 EUR/m2 (150m2 E875000, appartement)
Postcode 1019TN: 4285 EUR/m2 (175m2 E750000, woonhuis)
Postcode 1056WG: 4040 EUR/m2 (74m2 E299000, appartement)
Postcode 1033WE: 2500 EUR/m2 (68m2 E170000, appartement)
Postcode 1033WE: 2600 EUR/m2 (65m2 E169011, appartement)
Postcode 1033ZN: 2272 EUR/m2 (66m2 E150000, appartement)
Postcode 1069HV: 2500 EUR/m2 (110m2 E275000, appartement)
Postcode 1092VW: 3546 EUR/m2 (76m2 E269500, appartement)
Postcode 1078LJ: 4985 EUR/m2 (70m2 E349000, appartement)
Postcode 1016LR: 5714 EUR/m2 (35m2 E200000, appartement)
Postcode 1068CP: 2551 EUR/m2 (98m2 E250000, appartement)
Postcode 1073EW: 5113 EUR/m2 (44m2 E225000, appartement)
